EECS 320,Introduction to Semiconductor Devices,Prerequisite: EECS 215 and PHYSICS 240 or 260. (4 credits),https://atlas.ai.umich.edu/course/EECS%20320/
EECS 330,Introduction to Antennas and Wireless Systems,Prerequisite: EECS 230. (4 credits),https://atlas.ai.umich.edu/course/EECS%20330/
EECS 334,Principles of Optics,Prerequisite: PHYSICS 240. A student can receive credit for only one: EECS 334 or PHYSICS 402. (4 credits),https://atlas.ai.umich.edu/course/EECS%20334/
EECS 351,Introduction to Digital Signal Processing,Prerequisite: EECS 216. Minimum grade of C for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20351/
EECS 367,Introduction to Autonomous Robotics,Prerequisite: EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101; (No OP/F). Enrollment in one minor elective allowed for Computer Science Minors.,https://atlas.ai.umich.edu/course/EECS%20367/
EECS 370,Introduction to Computer Organization,Prerequisite: (EECS 203 or Math 465 or Math 565 or EECS 270) and EECS 280. (4 credits),https://atlas.ai.umich.edu/course/EECS%20370/
EECS 373,Introduction to Embedded System Design,Prerequisite: EECS 270 and EECS 370 and junior standing or higher. Minimum grade of “C” required for enforced prerequisites. (4 credits).,https://atlas.ai.umich.edu/course/EECS%20373/
EECS 376,Foundations of Computer Science,Prerequisite: EECS 280 and (EECS 203 or Math 465 or Math 565). Minimum grade of C required for enforced prerequisites. (4 credits).,https://atlas.ai.umich.edu/course/EECS%20376/
EECS 388,Introduction to Computer Security,Prerequisite: EECS 281; (C or better, No OP/F). Enrollment in one minor elective allowed for Computer Science Minors,https://atlas.ai.umich.edu/course/EECS%20388/
EECS 390,Programming Paradigms,Prerequisite: EECS 281; (C or better, No OP/F). Enrollment in one minor elective allowed for Computer Science Minors.,https://atlas.ai.umich.edu/course/EECS%20390/
EECS 398,Special Topics,Advisory Prerequisite: permission of instructor. (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20398/
EECS 399,Directed Study,Prerequisite: Sophomore or Junior Standing, and Permission of Instructor,https://atlas.ai.umich.edu/course/EECS%20399/
EECS 402,Computer Programming For Scientists and Engineers,Prerequisite: Graduate standing. Minimum grade of “C” required for enforced prerequisites. (4 credits) (May not be taken if student has credit for or is currently enrolled in EECS 180, EECS 183, ENGR 101, ENGR 151, EECS 280 or EECS 282.),https://atlas.ai.umich.edu/course/EECS%20402/
EECS 403,Graduate Foundations of Data Structures and Algorithms,Prerequisite: Graduate Standing and [EECS 402 and (EECS 203 or MATH 403 or 465 or 565); (C or better; No OP/F)] Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20403/
EECS 406 (ENGR 406),High-Tech Entrepreneurship,Prerequisite: None. (4 credits),https://atlas.ai.umich.edu/course/EECS%20406/
EECS 409,Data Science Seminar,Prerequisite: None. (1 credit),https://atlas.ai.umich.edu/course/EECS%20409/
EECS 410 (ENGR 410),Patent Fundamentals for Engineers,Prerequisite: (Junior or senior standing) or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20410/
EECS 411,Microwave Circuits I,Prerequisite: EECS 311 or 330, or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20411/
EECS 413,Monolithic Amplifier Circuits,Prerequisite: EECS 311 and EECS 320 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20413/
EECS 414,Introduction to MEMS,Prerequisite: MATH 215 and MATH 216 and PHYSICS 240 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20414/
EECS 417 (BIOMEDE 417),Electrical Biophysics,Prerequisite: EECS 215 and 216 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20417/
EECS 418,Power Electronics,Prerequisite: (EECS 215 and EECS 216 and preceded or accompanied by EECS 320) or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20418/
EECS 419,Electric Machinery and Drives,Prerequisite: ((Phys 240 or 260) and EECS 215 and EECS 216) or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20419/
EECS 421,Properties of Transistors,Prerequisite: EECS 320 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20421/
EECS 423,Micro/Nano Device Fabrication and Characterization,Prerequisite: Senior undergraduate or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20423/
EECS 425,Integrated Microsystems Laboratory,Prerequisite: EECS 311 or EECS 312 or EECS 414 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20425/
EECS 427,VLSI Design I,Prerequisite: (EECS 270 and EECS 312) or graduate standing. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20427/
EECS 428,Introduction to Quantum Nanotechnology,Advisory Prerequisite: PHYSICS 240, MATH 215, MATH 216. (3 credits),https://atlas.ai.umich.edu/course/EECS%20428/
EECS 429,Semiconductor Optoelectronic Devices,Prerequisite: EECS 320 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20429/
EECS 430 (SPACE 431)(CLIMATE 431),Wireless Link Design,Prerequisite: EECS 330 (“C” or better) or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20430/
EECS 434,Principles of Photonics,Prerequisite: EECS 330 or EECS 334 or permission of instructor or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20434/
EECS 435,Fourier Optics,Prerequisite: EECS 216. (3 credits),https://atlas.ai.umich.edu/course/EECS%20435/
EECS 438,Advanced Lasers and Optics Laboratory,Prerequisite: EECS 334 or EECS 434 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20438/
EECS 440,System Design of a Search Engine,Prerequisite: EECS 281 (“C” or better). (4 credits),https://atlas.ai.umich.edu/course/EECS%20440/
EECS 441,Mobile App Development for Entrepreneurs,Prerequisite: Senior standing, EECS 281, and at least four credit hours of Upper Level Electives from list in either Computer Science or Computer Engineering. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20441/
EECS 442,Computer Vision,Prerequisite: [(EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101)); (C or better, No OP/F)] or graduate standing. Minimum grade of “C” required for enforced prerequsites. (4 credits) (Credit cannot be obtained for both EECS 442 and EECS 504.),https://atlas.ai.umich.edu/course/EECS%20442/
EECS 443,Senior Thesis,Prerequisite: Senior standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20443/
EECS 444,Analysis of Societal Networks,Prerequisite: EECS 301 or MATH 425 or STATS 425. Minimum grade of “C” required for enforced prerequisites. (4 credits) (Credit cannot be obtained for both EECS 444 and EECS 544.),https://atlas.ai.umich.edu/course/EECS%20444/.
EECS 445,Introduction to Machine Learning,Prerequisite: [(EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101)); (C or better, No OP/F)]. Enrollment in one minor elective allowed for Computer Science Minors.,https://atlas.ai.umich.edu/course/EECS%20445/
EECS 448,Applied Machine Learning for Modeling Human Behavior,Prerequisite: EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101); (C or better; No OP/F) or Graduate Standing in CSE,https://atlas.ai.umich.edu/course/EECS%20448/
EECS 449,Conversational Artificial Intelligence,Prerequisite: EECS 281; (C or better, No OP/F). Advisory Prerequisite: EECS 485 or EECS 493. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20449/
EECS 452,Digital Signal Processing Design Laboratory,Prerequisite: EECS 280, and (EECS 351 or EECS 455) or graduate standing. Minimum grade of “C” required. (4 credits),https://atlas.ai.umich.edu/course/EECS%20452/
EECS 453,Principles of Machine Learning,Prerequisite: EECS 280 and (STATS 250 or STATS 280 or STATS 412 or STATS 426 or EECS 301 or IOE 265 or TO 301) and (EECS 351 or MATH 214 or 217 or 296 or 417 or 419 or ROB 101). (C or better, No OP/F).,https://atlas.ai.umich.edu/course/EECS%20453/
EECS 455,Wireless Communications Systems,Prerequisite: EECS 216 and EECS 301 or graduate standing. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20455/
EECS 456,Internet Foundations,Prerequisite: EECS 300 or EECS 270 or graduate standing or permission of instructor. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20456/
EECS 458 (BIOMEDE 458),Biomedical Instrumentation and Design,Prerequisite: EECS 215 or EECS 314 or consent of instructor or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20458/
EECS 460,Control Systems Analysis and Design,Prerequisite: EECS 216 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20460/
EECS 461,Embedded Control Systems,Prerequisite: EECS 216 or EECS 373 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20461/
EECS 463,Power Systems Design and Operation,Prerequisite: ((Phys 240 or 260) and EECS 215 and EECS 216) or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20463/
EECS 464 (ROB 464),Hands-on Robotics,Prerequisite: EECS 216 or EECS 281 or ME 360 or CEE 212 or IOE 333 or Graduate Standing.  Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20464/
EECS 465 (ROB 422),Introduction to Algorithmic Robotics,Prerequisite: EECS 280 and MATH 215 and (junior standing or senior standing) or graduate standing). Minimum grade of “C” required for enforced prerequisites. Advisory Prerequisite: EECS 281 and (MATH 214 or MATH 217 or MATH 417 or MATH 419 or ROB 101) or permission of instructor.,https://atlas.ai.umich.edu/course/EECS%20465/
EECS 467,Autonomous Robotics Design Experience,Prerequisite: EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101) and (EECS 367 or EECS 373); (No OP/F). Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20467/
EECS 470,Computer Architecture,Prerequisite: EECS 370 and EECS 270 or graduate standing. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20470/
EECS 471,Applied Parallel Programming with GPUs,Prerequisite: EECS 281 and EECS 370; (C or better, No OP/F) or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors.,https://atlas.ai.umich.edu/course/EECS%20471/
EECS 473,Advanced Embedded Systems,Prerequisite: EECS 373 and EECS 215 or EECS 281 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20470/
EECS 475,Introduction to Cryptography,Prerequisite: EECS 376; (C or better, No OP/F) or Graduate Standing in CSE,https://atlas.ai.umich.edu/course/EECS%20475/
EECS 476,Data Mining,Prerequisite: [EECS 281 and (MATH 214 or MATH 217 or MATH 296 or MATH 417 or MATH 419, or ROB 101) (minimum grade of C)] or [EECS 403 (minimum grade of B)] or graduate standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors.,https://atlas.ai.umich.edu/course/EECS%20476/
EECS 477,Introduction to Algorithms,Prerequisite: EECS 281 and EECS 376; (C or better, No OP/F). Enrollment in one minor elective allowed for Computer Science Minors. Minimum grade of “C” required for enforced prerequisites. No credit to a student who has taken EECS 586.,https://atlas.ai.umich.edu/course/EECS%20477/
EECS 478,Logic Circuit Synthesis and Optimization,Prerequisite: EECS 203, EECS 270, and senior standing or graduate standing. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20478/
EECS 480,Social Computing Systems,Prerequisite: EECS 485 or 493. Minimum grade of “C” required for enforced prerequisites. (4 credits),https://atlas.ai.umich.edu/course/EECS%20480/
EECS 481,Software Engineering,Prerequisite: EECS 281; (C or better, No OP/F) or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors,https://atlas.ai.umich.edu/course/EECS%20481/
EECS 482,Introduction to Operating Systems,Prerequisite: EECS 281 and EECS 370 or graduate standing in CSE. Minimum grade of “C” required for enforced prerequisites. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits),https://atlas.ai.umich.edu/course/EECS%20482/
EECS 483,Compiler Construction,Prerequisite:  EECS 281 and EECS 370 or graduate standing in CSE. Minimum grade of “C” required for enforced prerequisites. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits),https://atlas.ai.umich.edu/course/EECS%20483/
EECS 484,Database Management Systems,Prerequisite: EECS 281 (minimum grade of “C”) or EECS 403 (minimum grade of “B”) or graduate standing in CSE.  Enrollment in one minor elective allowed for Computer Science Minors. (4 credits),https://atlas.ai.umich.edu/course/EECS%20484/
EECS 485,Web Systems,Prerequisite: EECS 281 or graduate standing in CSE. Minimum grade of “C” required. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits,https://atlas.ai.umich.edu/course/EECS%20485/
EECS 486,Informational Retrieval and Web Search,Prerequisite: EECS 281; (C or better, No OP/F) or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors. Minimum grade of “C” for enforced prerequisite. (4 credits),https://atlas.ai.umich.edu/course/EECS%20486/
EECS 487,Introduction to Natural Language Processing,Prerequisite: EECS 281; (C or better, No OP/F). Enrollment in one minor elective allowed for Computer Science Minors. Minimum grade of “C” for enforced prerequisite. (Credit cannot be obtained for both EECS 487 and EECS 595.) (4 credits),https://atlas.ai.umich.edu/course/EECS%20487/
EECS 489,Computer Networks,Prerequisite: EECS 281 and EECS 370 or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors.,https://atlas.ai.umich.edu/course/EECS%20489/
EECS 490,Programming Languages,Prerequisite: EECS 281 or graduate standing in CSE. Minimum grade of “C” required for enforced prerequisite. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits),https://atlas.ai.umich.edu/course/EECS%20490/
EECS 491,Introduction to Distributed Systems,Prerequisite: EECS 482 or graduate standing in CSE. Minimum grade of “C” required for enforced prerequisite. (4 credits),https://atlas.ai.umich.edu/course/EECS%20491/
EECS 492,Introduction to Artificial Intelligence,Prerequisite: EECS 281. Minimum grade of “C” required for enforced prerequisite. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits) (Not for graduate credit),https://atlas.ai.umich.edu/course/EECS%20492/
EECS 493,User Interface Development,Prerequisite: EECS 281 or graduate standing in CSE. Minimum grade of “C” required for enforced prerequisite. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits),https://atlas.ai.umich.edu/course/EECS%20493/
EECS 494,Computer Game Design and Development,Prerequisite: EECS 281. Minimum grade of “C” required for enforced prerequisite. (4 credits),https://atlas.ai.umich.edu/course/EECS%20494/
EECS 495,Software Development for Accessibility,Prerequisite: EECS 281. Minimum grade of “C” required for enforced prerequisite. (4 credits),https://atlas.ai.umich.edu/course/EECS%20495/
EECS 496,Major Design Experience Professionalism,Prerequisite: Senior standing. (2 credits),https://atlas.ai.umich.edu/course/EECS%20496/
EECS 497,Human-Centered Software and Design and Development,Prerequisite: EECS 281,https://atlas.ai.umich.edu/course/EECS%20497/
EECS 498,Special Topics,Prerequisite: Permission of instructor. (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20498/
EECS 499,Directed Study,Prerequisite: Senior standing in EECS. (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20499/
EECS 500,Tutorial Lecture Series in System Science,Prerequisite: Graduate standing; mandatory satisfactory/unsatisfactory. (1 credit),https://atlas.ai.umich.edu/course/EECS%20500/
EECS 501,Probability and Random Processes,Prerequisite: EECS 301 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20501/
EECS 502,Stochastic Processes,Prerequisite: EECS 501. (3 credits),https://atlas.ai.umich.edu/course/EECS%20502/
EECS 503,Introduction to Numerical Electromagnetics,Prerequisite: EECS 330. (3 credits),https://atlas.ai.umich.edu/course/EECS%20503/
EECS 504,Foundations of Computer Vision,Prerequisite: Undergraduate Calculus, Linear Algebra, Probability and Programming. (3 credits) (Credit cannot be obtained in both EECS 442 and EECS 504.),https://atlas.ai.umich.edu/course/EECS%20504/
EECS 505,Computational Data Science and Machine Learning,Prerequisite: EECS 301 or MATH 425 or STATS 250 or STATS 412 or STATS 426 or IOE 265 or graduate standing. Minimum grade of C required for enforced prerequisites. (4 credits) (Students who have previously enrolled in 551 or 453 cannot get credit for 505.,https://atlas.ai.umich.edu/course/EECS%20505/
EECS 506,Design of Power Electronics,Prerequisite: EECS 418 or graduate standing. Minimum grade of “C”. (3 credits),https://atlas.ai.umich.edu/course/EECS%20506/
EECS 507,Introduction to Embedded System Research,Advisory Prerequisites: A prior >= 400-level course on computer system or sensor design and analysis. Sufficient time to read and understand two 30-page research papers per week. Minimum grade of “C”.,https://atlas.ai.umich.edu/course/EECS%20507/
EECS 508,Control and Modeling of Power Electronics,Prerequisite: EECS 418 or graduate standing. Minimum grade of “C”. (3 credits),https://atlas.ai.umich.edu/course/EECS%20508/
EECS 509,BioMEMS,Prerequisite: None. (3 credits),https://atlas.ai.umich.edu/course/EECS%20509/
EECS 510,RF MEMS,Prerequisite: EECS 414. (4 credits),https://atlas.ai.umich.edu/course/EECS%20510/
EECS 511,Integrated Analog/Digital Interface Circuits,Prerequisite: EECS 413 or permission of instructor. (4 credits),https://atlas.ai.umich.edu/course/EECS%20511/
EECS 512,Amorphous and Microcrystalline Semiconductor Thin Film Devices,Prerequisite: EECS 421 and/or permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20512/
EECS 513,Flat Panel Displays,Prerequisite: EECS 423, EECS 512 and/or permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20513/
EECS 514,Advanced MEMS Devices and Technologies,Prerequisite: EECS 414. (4 credits),https://atlas.ai.umich.edu/course/EECS%20514/
EECS 515,Integrated Microsystems,Prerequisite: EECS 414. (4 credits),https://atlas.ai.umich.edu/course/EECS%20515/
EECS 516 (BIOMEDE 516),Medical Imaging Systems,Prerequisite: EECS 351. (3 credits),https://atlas.ai.umich.edu/course/EECS%20516/
EECS 517 (NERS 578),Physical Processes in Plasmas,Prerequisite: EECS 330. (3 credits),https://atlas.ai.umich.edu/course/EECS%20517/
EECS 518 (AOSS 595),Magnetosphere and Solar Wind,Prerequisite: Graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20518/
EECS 519 (NERS 575),Plasma Generation and Diagnostics Laboratory,Prerequisite: Preceded or accompanied by a course covering electromagnetism. (4 credits),https://atlas.ai.umich.edu/course/EECS%20519/
EECS 520,Solid State Physics,Prerequisite: PHYSICS 453 or graduate standing. (4 credits),https://atlas.ai.umich.edu/course/EECS%20520/
EECS 521,Solid State Devices,Prerequisite: EECS 421. (3 credits),https://atlas.ai.umich.edu/course/EECS%20521/
EECS 522,Analog Integrated Circuits,Prerequisite: EECS 413. (4 credits),https://atlas.ai.umich.edu/course/EECS%20522/
EECS 523,Digital Integrated Technology,Prerequisite: (EECS 423 or EECS 425) and EECS 311 and EECS 320. (4 credits),https://atlas.ai.umich.edu/course/EECS%20523/
EECS 524,Organic Electronic Devices and Applications,Prerequisite: Permission of instructor or graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20524/
EECS 525,Advanced Solid State Microwave Circuits,Prerequisite: EECS 411 and (EECS 421 or EECS 521). (3 credits),https://atlas.ai.umich.edu/course/EECS%20525/
EECS 526,Plasmonics,Advisory Prerequisite: EECS 230, PHYSICS 240, graduated standing or permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20526/
EECS 528,Principles of Microelectronics Process Technology,Prerequisite: EECS 421 and EECS 423. (3 credits),https://atlas.ai.umich.edu/course/EECS%20528/
EECS 529,Semiconductor Lasers and LEDs,Prerequisite: EECS 429. (3 credits),https://atlas.ai.umich.edu/course/EECS%20529/
EECS 530 (APPPHYS 530),Electromagnetic Theory I,Prerequisite: EECS 330 or Physics 438. (3 credits),https://atlas.ai.umich.edu/course/EECS%20530/
EECS 531,Antenna Theory and Design,Prerequisite: EECS 330. (3 credits),https://atlas.ai.umich.edu/course/EECS%20531/
EECS 532 (CLIMATE 587),Microwave Remote Sensing I: Radiometry,Prerequisite: EECS 330, graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20532/
EECS 533,Microwave Measurements Laboratory,Prerequisite: EECS 330, graduate Standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20533/
EECS 534,Analysis of Electric Power Distribution Systems and Loads,Advisory Prerequisite: EECS 463 or graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20534/
EECS 535,Power System Dynamics and Control,Advisory Prerequisite: EECS 463, or permission of instructor or graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20535/
EECS 536,Power System Markets & Optimization,Prerequisite: EECS 463, or permission of instructor or graduate standing. Minimum grade of “C”. (3 credits),https://atlas.ai.umich.edu/course/EECS%20536/
EECS 537 (APPPHYS 537),Classical Optics,Prerequisite: EECS 330 and EECS 334. (3 credits),https://atlas.ai.umich.edu/course/EECS%20537/
EECS 538 (APPPHYS 550) (PHYSICS 650),Optical Waves in Crystals,Prerequisite: EECS 434. (3 credits),https://atlas.ai.umich.edu/course/EECS%20538/
EECS 539 (APPPHYS 551) (PHYSICS 651),Lasers,Prerequisite: EECS 537 and EECS 538. (3 credits),https://atlas.ai.umich.edu/course/EECS%20539/
EECS 540 (APPPHYS 540),Applied Quantum Mechanics I,Prerequisite: Permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20540/
EECS 541 (APPPHYS 541),Applied Quantum Mechanics II,Prerequisite: EECS 540. (3 credits),https://atlas.ai.umich.edu/course/EECS%20541/
EECS 542,Advanced Topics in Computer Vision,Advisory Prerequisite: EECS 442 or EECS 504 or permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20542/
CSE 543,Ethics for AI and Robotics,Prerequisite: Graduate standing or permission of the instructor,https://atlas.ai.umich.edu/course/EECS%20543/
EECS 544,Analysis of Societal Networks,Advisory Prerequisite: EECS 301 or MATH 425 or STATS 425 or Graduate standing. Minimum grade of “C” required for advised prerequisite. (3 credits) (Credit restrictions: credit cannot be obtained in both EECS 444 and EECS 544),https://atlas.ai.umich.edu/course/EECS%20544/
EECS 545,Machine Learning (CSE),Advisory Prerequisite: Coursework in probability, linear algebra, and programming. (Credit Exclusions: No credit to a student who has taken EECS 445, 453, or 553) (3 credits),https://atlas.ai.umich.edu/course/EECS%20545/
EECS 546 (APPPHYS 546),Ultrafast Optics,Prerequisite: EECS 537. (3 credits),https://atlas.ai.umich.edu/course/EECS%20546/
EECS 547 (SI 652),Incentives and Strategic Behavior in Computational Systems,Advisory Prerequisite: EECS 281 or SI 502 or permission of instructor. (3 credits),https://atlas.ai.umich.edu/course/EECS%20547/
EECS 548 (SI 649),Information Visualizaiton,Advisory Prerequisite: EECS 493 or equivalent or Graduate standing. (3 credits),https://atlas.ai.umich.edu/course/EECS%20548/
EECS 549 (SI 650),Information Retrieval,Prerequisite: SI 507 or SI 507 Waiver or SI 508 or CSE Grad Standing. Minimum grade requirement of C- for enforced prerequisites. (3 credits),https://atlas.ai.umich.edu/course/EECS%20549/
EECS 550,Information Theory,Prerequisite: EECS 501. (3 credits),https://atlas.ai.umich.edu/course/EECS%20550/
